Year,Area,Main type of activity,Level of education,Population 31 Dec
1989,MK14 South Ostrobothnia,Employed,Total,89945
1989,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2353
1989,MK14 South Ostrobothnia,Unemployed,Total,5066
1989,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,18
1989,MK15 Ostrobothnia,Total,Total,166821
1989,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3620
1989,MK15 Ostrobothnia,Employed,Total,77118
1989,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3147
1989,MK15 Ostrobothnia,Unemployed,Total,3274
1989,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,24
1989,MK10 South Savo,Total,Total,163522
1989,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2890
1989,MK10 South Savo,Employed,Total,72214
1989,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2441
1989,MK10 South Savo,Unemployed,Total,5240
1989,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,35
1989,MK11 North Savo,Total,Total,264650
1989,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5516
1989,MK11 North Savo,Employed,Total,115798
1989,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4724
1989,MK11 North Savo,Unemployed,Total,7651
1989,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,47
1989,MK12 North Karelia,Total,Total,181932
1989,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3335
1989,MK12 North Karelia,Employed,Total,76535
1989,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2891
1989,MK12 North Karelia,Unemployed,Total,6895
1989,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,39
1989,MK16 Central Ostrobothnia,Total,Total,68013
1989,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,974
1989,MK16 Central Ostrobothnia,Employed,Total,29639
1989,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,868
1989,MK16 Central Ostrobothnia,Unemployed,Total,1772
1989,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,8
1989,MK17 North Ostrobothnia,Total,Total,348292
1989,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7970
1989,MK17 North Ostrobothnia,Employed,Total,150931
1989,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7004
1989,MK17 North Ostrobothnia,Unemployed,Total,8980
1989,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,107
1989,MK18 Kainuu,Total,Total,92458
1989,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1537
1989,MK18 Kainuu,Employed,Total,38780
1989,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1370
1989,MK18 Kainuu,Unemployed,Total,3847
1989,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,14
1989,MK19 Lapland,Total,Total,199973
1989,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3594
1989,MK19 Lapland,Employed,Total,88395
1989,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3215
1989,MK19 Lapland,Unemployed,Total,8123
1989,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,29
1989,MK21 Åland,Total,Total,24231
1989,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,452
1989,MK21 Åland,Employed,Total,12307
1989,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,372
1989,MK21 Åland,Unemployed,Total,104
1989,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1
1990,MK01 Uusimaa,Total,Total,1232236
1990,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,75401
1990,MK01 Uusimaa,Employed,Total,662931
1990,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,62964
1990,MK01 Uusimaa,Unemployed,Total,14148
1990,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,579
1990,MK02 Southwest Finland,Total,Total,425282
1990,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13660
1990,MK02 Southwest Finland,Employed,Total,201929
1990,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11270
1990,MK02 Southwest Finland,Unemployed,Total,9883
1990,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,173
1990,MK05 Kanta-Häme,Total,Total,162248
1990,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3934
1990,MK05 Kanta-Häme,Employed,Total,75911
1990,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3253
1990,MK05 Kanta-Häme,Unemployed,Total,3654
1990,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,30
1990,MK07 Päijät-Häme,Total,Total,204901
1990,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4057
1990,MK07 Päijät-Häme,Employed,Total,96051
1990,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3402
1990,MK07 Päijät-Häme,Unemployed,Total,5955
1990,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,25
1990,MK08 Kymenlaakso,Total,Total,186030
1990,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3721
1990,MK08 Kymenlaakso,Employed,Total,83422
1990,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3176
1990,MK08 Kymenlaakso,Unemployed,Total,6839
1990,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,30
1990,MK09 South Karelia,Total,Total,140244
1990,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2738
1990,MK09 South Karelia,Employed,Total,63125
1990,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2348
1990,MK09 South Karelia,Unemployed,Total,4865
1990,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,24
1990,MK04 Satakunta,Total,Total,240777
1990,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4407
1990,MK04 Satakunta,Employed,Total,107355
1990,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3812
1990,MK04 Satakunta,Unemployed,Total,8648
1990,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,43
1990,MK06 Pirkanmaa,Total,Total,430651
1990,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12750
1990,MK06 Pirkanmaa,Employed,Total,197067
1990,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10714
1990,MK06 Pirkanmaa,Unemployed,Total,13852
